5,50,10,100,50,0.00228208979459045,1.5049743796525
4,50,10,100,50,0.00233115658498693,1.6740634117518183
3,50,10,100,50,0.0023737406187333216,1.9598644587539709
2,50,10,100,50,0.00241368802598121,1.622860378767583
1,50,10,100,50,0.0024919621462976909,2.2392357302925978
0,50,10,100,50,0.0024919621462976909,2.2392357302925978
5,40,10,100,50,0.0022780195855083337,1.7124001997267977
5,30,10,100,50,0.00225100929418142,1.5305283703629948
5,20,10,100,50,0.0023156445926690483,1.4192641905074015
5,50,8,100,50,0.00444072441997795,2.5082140055368178
5,50,6,100,50,0.010090623553990642,3.9153156437734542
5,50,4,100,50,0.033845288944793293,8.6625160088134177
5,50,2,100,50,0.23024148332706784,31.40759514901351
4,50,10,100,500,0.023346998546731879,15.85290535090277
3,50,10,100,500,0.023729016504360274,20.387885452499919
2,50,10,100,500,0.024161123931855606,15.381488081031582
1,50,10,100,500,0.024917396837232698,22.594638486908423
0,50,10,100,500,0.024917396837232698,22.594638486908423
5,40,10,100,500,0.022780194922943354,17.12400157730222
5,30,10,100,500,0.022510094324070473,15.305283496103222
5,20,10,100,500,0.023153626489116622,16.853222832237609
5,50,8,100,500,0.044407246075731134,25.082139930022858
5,50,6,100,500,0.10090623365773521,39.153155986146515
5,50,4,100,500,0.3384529185795877,86.625161232794426
5,50,2,100,500,2.3024149819184361,314.07594851343362
4,50,10,100,1000,0.046693997093463759,31.70581070180554
3,50,10,100,1000,0.047458033008720549,40.775770904999838
2,50,10,100,1000,0.048322247863711212,30.762976162063165
1,50,10,100,1000,0.049834793674465395,45.189276973816845
0,50,10,100,1000,0.049834793674465395,45.189276973816845
5,40,10,100,1000,0.045560389845886708,34.24800315460444
5,30,10,100,1000,0.045020188648140946,30.610566992206444
5,20,10,100,1000,0.046307252978233245,33.706445664475218
5,50,8,100,1000,0.088814492151462268,50.164279860045717
5,50,6,100,1000,0.20181246731547042,78.306311972293031
5,50,4,100,1000,0.67690583715917541,173.25032246558885
5,50,2,100,1000,4.6048299638368722,628.15189702686723
5,50,10,80,1000,0.071908431030085082,54.91989742572747
5,50,10,70,1000,0.29630933134852805,337.01503735255653
